time,data
1197141485,99.1
1197151485,99.1
1197161485,99.1
1197171485,99.1
1197181485,99.1
1197191485,99.1
1197201485,99.1
1197211485,99.1
1197221485,99.1
1197231485,99.1
1197241485,99.1
1197251485,99.1
1197261485,99.1
1197271485,99.1
1197281485,99.1
1197291485,99.1
1197301485,99.1
1197311485,99.1
1197321485,99.1
1197331485,99.1
1197341485,99.1
1197351485,99.1
1197361485,99.1
1197371485,99.1
1197381485,99.1
1197391485,99.1
1197401485,99.1
1197411485,99.1
1197421485,99.1
1197431485,99.1
1197441485,99.1
1197451485,94.1
1197461485,94.1
1197471485,94.1
1197481485,94.1
1197491485,94.1
1197501485,94.1
1197511485,94.1
1197521485,94.1
1197531485,94.1
1197541485,94.1
1197551485,94.1
1197561485,94.1
1197571485,94.1
1197581485,94.1
1197591485,94.1
1197601485,94.1
1197611485,94.1
1197621485,94.1
1197631485,94.1
1197641485,94.1
1197651485,94.1
1197661485,94.1
1197671485,94.1
1197681485,94.1
1197691485,94.1
1197701485,94.1
1197711485,94.1
1197721485,94.1
1197731485,94.1
1197741485,94.1
1197751485,94.1
1197761485,94.1
1197771485,94.1
1197781485,94.1
1197791485,94.1
1197801485,94.1
1197811485,94.1
1197821485,94.1
1197831485,94.1
1197841485,94.1
1197851485,94.1
1197861485,94.1
1197871485,94.1
1197881485,94.1
1197891485,94.1
1197901485,94.1
1197911485,94.1
1197921485,94.1
1197931485,94.1
1197941485,94.1
1197951485,94.1
1197961485,94.1
1197971485,94.1
1197981485,94.1
1197991485,94.1
1198001485,94.1
1198011485,94.1
1198021485,94.1
1198031485,94.1
1198041485,94.1
1198051485,94.1
1198061485,94.1
1198071485,94.1
1198081485,94.1
1198091485,94.1
1198101485,94.1
1198111485,94.1
1198121485,94.1
1198131485,94.1
1198141485,94.1
1198151485,94.1
1198161485,94.1
1198171485,94.1
1198181485,94.1
1198191485,94.1
1198201485,94.1
1198211485,94.1
1198221485,94.1
1198231485,94.1
1198241485,94.1
1198251485,94.1
1198261485,94.1
1198271485,94.1
1198281485,94.1
1198291485,94.1
1198301485,94.1
1198311485,94.1
1198321485,94.1
1198331485,94.1
1198341485,94.1
1198351485,94.1
1198361485,94.1
1198371485,94.1
1198381485,94.1
1198391485,94.1
1198401485,94.1
1198411485,94.1
1198421485,94.1
1198431485,94.1
1198441485,94.1
1198451485,100.0
1198461485,100.0
1198471485,100.0
1198481485,100.0
1198491485,100.0
1198501485,100.0
1198511485,100.0
1198521485,100.0
1198531485,100.0
1198541485,100.0
1198551485,100.0
1198561485,100.0
1198571485,100.0
1198581485,100.0
1198591485,100.0
1198601485,100.0
1198611485,100.0
1198621485,100.0
1198631485,100.0
1198641485,100.0
1198651485,100.0
1198661485,100.0
1198671485,100.0
1198681485,100.0
1198691485,100.0
1198701485,100.0
1198711485,100.0
1198721485,100.0
1198731485,100.0
1198741485,100.0
1198751485,100.0
1198761485,100.0
1198771485,100.0
1198781485,100.0
1198791485,100.0
1198801485,100.0
1198811485,100.0
1198821485,100.0
1198831485,100.0
1198841485,100.0
1198851485,100.0
1198861485,100.0
1198871485,100.0
1198881485,100.0
1198891485,100.0
1198901485,100.0
1198911485,100.0
1198921485,100.0
1198931485,100.0
1198941485,100.0
1198951485,100.0
1198961485,100.0
1198971485,100.0
1198981485,100.0
1198991485,100.0
1199001485,100.0
1199011485,100.0
1199021485,100.0
1199031485,100.0
1199041485,100.0
1199051485,100.0
1199061485,100.0
1199071485,100.0
1199081485,100.0
1199091485,100.0
1199101485,100.0
1199111485,100.0
1199121485,100.0
1199131485,100.0
1199141485,100.0
1199151485,100.0
1199161485,100.0
1199171485,100.0
1199181485,100.0
1199191485,100.0
1199201485,100.0
1199211485,100.0
1199221485,100.0
1199231485,100.0
1199241485,100.0
1199251485,100.0
1199261485,100.0
1199271485,100.0
1199281485,100.0
1199291485,100.0
1199301485,100.0
1199311485,100.0
1199321485,100.0
1199331485,100.0
1199341485,100.0
1199351485,100.0
1199361485,100.0
1199371485,100.0
1199381485,100.0
1199391485,100.0
1199401485,100.0
1199411485,100.0
1199421485,100.0
1199431485,100.0
1199441485,100.0
1199451485,83.7
1199461485,83.7
1199471485,83.7
1199481485,83.7
1199491485,83.7
1199501485,83.7
1199511485,83.7
1199521485,83.7
1199531485,83.7
1199541485,83.7
1199551485,83.7
1199561485,83.7
1199571485,83.7
1199581485,83.7
1199591485,83.7
1199601485,83.7
1199611485,83.7
